DateTime,AddedIPs,RemovedIPs
1558301320,94,1127
1558303265,108,520
1558305170,104,835
1558307081,86,127
1558308975,102,129
1558311172,250,130
1558313078,1302,111
1558314995,1280,101
1558316907,1340,89
1558318840,1021,115
1558320749,1232,112
1558322679,966,96
1558324585,1089,105
1558326501,855,76
1558328457,1062,90
1558330360,835,73
1558332289,769,99
1558334184,945,100
1558336119,919,169
1558338024,790,435
1558339938,533,102
1558341878,123,125
1558343799,646,265
1558345718,1273,122
1558347621,105,93
1558349532,92,109
1558351455,111,103
1558353387,99,104
1558355324,94,702
1558357244,88,858
1558359188,68,1015
1558361073,73,935
1558362990,70,1146
1558364922,81,710
1558366820,80,93
1558368758,76,111
1558370669,60,181
1558372600,65,97
1558374502,186,84
1558376304,207,1976
1558378359,113,3281
1558380272,81,2234
1558382199,84,1896
1558384118,93,139
1558386054,70,112
1558387959,82,129
1558389878,63,104
1558391776,86,97
1558393727,99,104
1558395625,110,112
1558397539,111,250
1558399480,87,1298
1558401411,103,1250
1558403300,68,1209
1558405222,92,982
1558407166,88,1241
1558409065,77,989
1558411004,114,1149
1558412903,73,875
1558414839,98,1062
1558416747,664,864
1558418696,162,799
1558420578,625,955
1558422506,702,976
1558424441,1258,811
1558426360,127,171
1558428265,215,155
1558430196,1061,1603
1558432126,1503,3005
1558434033,1188,145
1558435946,1282,1148
1558437875,1361,2377
1558439794,1322,861
1558441713,1105,155
1558443638,1153,117
1558445565,1034,87
1558447504,803,97
1558449396,828,101
1558451318,875,117
1558453230,1218,93
1558455141,986,76
1558456988,810,63
1558458973,153,81
1558460911,198,129
1558462961,507,256
1558464998,4410,99
1558466890,3763,79
1558468834,3990,89
1558470761,2174,112
1558472659,90,80
1558474814,259,96
1558476735,230,100
1558479759,427,158
1558481768,83,117
1558483699,128,106
1558485618,95,94
1558487532,123,97
1558489458,106,73
1558491392,111,97
1558493292,96,76
1558495473,86,105
1558497400,77,105
1558499302,99,73
1558501280,70,132
1558503144,82,686
1558505103,124,93
1558507009,546,89
1558508920,1024,102
1558510822,1414,85
1558512743,1137,99
1558514679,736,214
1558516605,507,1318
1558518512,97,1128
1558520417,98,899
1558522359,98,1120
1558524276,106,1332
1558526200,111,1289
1558528095,93,1047
1558530071,102,1127
1558531941,82,985
1558533828,82,778
1558535782,109,786
1558537692,133,828
1558539889,129,1334
1558541803,116,956
1558543719,121,693
1558545642,110,110
1558547552,130,166
1558549865,127,1481
1558551985,230,4357
1558554014,142,4264
1558555932,358,3382
1558557884,316,1353
1558560053,265,247
1558561934,99,130
1558563856,126,454
1558565795,147,521
1558567701,151,102
1558569668,322,150
1558571541,831,102
1558573498,892,100
1558575394,921,118
1558577564,909,130
1558579470,796,90
1558581372,943,97
1558583295,980,76
1558585236,1092,100
1558587141,996,85
1558589053,886,85
1558590997,948,104
1558592925,950,182
1558594834,902,170
1558596770,893,460
1558598694,1585,110
1558600581,2029,110
1558602523,1144,121
1558604437,706,86
1558606346,666,111
