DateTime,Entries,UniqueIPs
1557636735,3192,3192
1557638656,3191,3191
1557640573,3194,3194
1557642753,3195,3195
1557644660,3179,3179
1557646821,3168,3168
1557648739,3168,3168
1557650675,3160,3160
1557652576,3146,3146
1557654497,3135,3135
1557656438,1593,1593
1557658359,1583,1583
1557660253,2232,2232
1557662172,2264,2264
1557664113,2274,2274
1557666034,2260,2260
1557667947,2256,2256
1557670125,2270,2270
1557672038,2290,2290
1557673935,2310,2310
1557675873,2315,2315
1557677807,2325,2325
1557679718,2325,2325
1557681620,2341,2341
1557683531,2338,2338
1557685464,2336,2336
1557687574,2347,2347
1557689557,2356,2356
1557691719,2359,2359
1557693610,2368,2368
1557695785,2360,2360
1557697695,2357,2357
1557699634,2359,2359
1557701550,2347,2347
1557703496,2906,2906
1557705371,2892,2892
1557707302,2883,2883
1557709241,2865,2865
1557711162,2850,2850
1557713057,2836,2836
1557714997,2837,2837
1557717159,2845,2845
1557719075,2851,2851
1557720998,2851,2851
1557722896,2841,2841
1557724820,2837,2837
1557726731,2837,2837
1557728653,2823,2823
1557730570,2824,2824
1557732490,2830,2830
1557734466,2832,2832
1557736592,2833,2833
1557738501,2826,2826
1557740431,2830,2830
1557742342,1413,1413
1557744276,1470,1470
1557746194,2132,2132
1557748093,2161,2161
1557750039,2186,2186
1557751930,2214,2214
1557753859,2228,2228
1557756094,2241,2241
1557758107,2252,2252
1557760342,2267,2267
1557762246,2266,2266
1557764193,2255,2255
1557766089,2246,2246
1557768030,2243,2243
1557769952,2244,2244
1557771875,2250,2250
1557773766,2258,2258
1557775684,2268,2268
1557777621,2264,2264
1557779559,2258,2258
1557781456,2255,2255
1557783376,2255,2255
1557785311,2254,2254
1557787234,2254,2254
1557789133,2824,2824
1557791049,2822,2822
1557792969,2829,2829
1557794888,2831,2831
1557796805,2824,2824
1557798751,2831,2831
1557800647,2844,2844
1557802565,2844,2844
1557804515,2845,2845
1557806438,2834,2834
1557808359,2837,2837
1557810276,2832,2832
1557812169,2831,2831
1557814092,2821,2821
