DateTime,AddedIPs,RemovedIPs
1557518180,0,2
1557520100,1,7
1557522065,2,9
1557523981,2,4
1557528385,1,3
1557530205,0,2
1557534053,1,0
1557535960,0,1
1557537909,1,0
1557541713,2,0
1557543804,1,1
1557545775,0,1
1557547718,1,0
1557549616,1,2
1557551536,2,0
1557553464,0,1
1557557303,1,1
1557561164,0,1
1557563060,1,1
1557567023,4,1
1557568982,1,2
1557570797,1,1
1557572728,1,2
1557576515,1,0
1557578462,0,3
1557580359,2,3
1557582268,1,0
1557586110,1,1
1557588028,1,1
1557590079,0,1
1557594380,0,1
1557596216,0,2
1557598116,0,1
1557600277,1,0
1557602213,0,1
1557604149,2,0
1557606046,0,1
1557607952,1,1
1557609891,0,3
1557613728,1,1
1557615783,1,0
1557617794,1,0
1557621627,0,1
1557623806,2,1
1557625730,2,0
1557627622,4,2
1557631485,1,0
1557633406,0,1
1557635310,1,0
1557637365,1,1
1557639373,1,2
1557643224,0,2
1557647088,3,0
1557648988,1,1
1557651169,2,0
1557653063,2,4
1557655013,2,1
1557658929,1,2
1557660745,1,0
1557662717,1,0
1557664597,1,1
1557666508,0,1
1557668445,1,1
1557670355,2,0
1557672263,0,1
1557674464,0,1
1557676392,1,0
1557678295,1,0
1557680189,1,0
1557684088,1,0
1557685991,0,1
1557690072,2,2
1557692228,1,0
1557694125,0,1
1557697942,1,0
1557702974,3,2
1557704918,0,1
1557706868,1,0
1557708766,2,0
1557710677,1,2
1557712605,2,3
1557714763,0,2
1557716783,1,1
1557722456,0,1
1557724381,0,1
1557726273,0,1
1557728208,2,0
1557730135,1,0
1557732050,1,0
1557733953,1,4
1557735882,0,1
1557737804,2,1
1557739739,0,2
1557741710,1,1
1557745533,0,2
1557747396,2,1
1557749319,3,1
1557751230,0,1
1557753169,2,0
1557755088,1,2
1557757017,1,1
1557762854,2,3
1557764682,1,1
1557766629,1,1
1557768537,2,0
1557770586,2,1
1557772604,1,0
1557774552,2,0
1557776421,1,2
1557778604,1,1
1557780504,1,0
1557782458,1,0
1557784341,0,1
1557786281,3,0
1557788208,0,3
1557790098,2,0
1557792077,0,1
1557793944,0,1
1557796133,1,2
1557798063,1,0
1557799970,1,0
1557804069,0,1
1557805943,3,1
1557807868,0,2
1557809793,1,0
1557813730,1,2
1557817560,2,1
1557819646,1,1
1557821546,0,1
1557823766,3,2
1557825683,1,0
1557827563,2,1
1557833305,1,2
1557835290,29,3
1557837167,31,0
1557839138,1,1
1557840997,2,2
1557842932,0,1
1557845089,27,0
1557847011,2,0
1557848940,1,2
1557850847,0,1
1557852802,0,1
1557854664,0,2
1557856622,0,2
1557860553,0,2
1557862391,0,1
1557868150,0,2
1557870041,2,0
1557871971,0,2
1557873901,1,0
1557875837,4,0
1557877745,0,1
1557879661,2,0
1557881602,1,1
1557883478,1,1
